nameWithOwner;tag;typeRelease;isFirstRow(bool);isNotaMax(bool);isLOCchanged(bool);isMetricChanged(bool);qtDias;porcValF(%);deltaLOC(qtd);deltaSLOC(qtd);deltaMIF(%);deltaMIT(%);deltaDiff(%);deltaEff(%);deltaTimeH(%);deltaBug(%);deltaFiles(qtd);totalFiles(qtd)
aio-libs/aiohttp;2.0.0rc1;VR;0;0;1;1;0;93,4;1388;1011;0,33;0,3;0,0;9,68;9,68;0,0;6;136
aio-libs/aiohttp;1.3.5;VR;0;0;0;1;1;91,5;-1386;-1010;-0,33;-0,3;0,0;-8,82;-8,82;0,0;-6;130
aio-libs/aiohttp;2.0.0;VR;0;0;1;1;4;93,4;1489;1086;0,33;0,21;0,0;2,97;2,97;-1,16;6;136
aio-libs/aiohttp;2.0.1;VR;0;0;1;0;1;93,4;21;15;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.2;VR;0;0;1;0;2;93,4;30;12;-0,03;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.3-1;VR;0;0;1;0;1;93,4;38;32;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.4;VR;0;0;1;0;3;93,4;8;6;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.5;VR;0;0;1;0;2;93,4;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.6;VR;0;0;1;0;8;93,4;24;24;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;2.0.7;VR;0;0;1;0;6;93,4;6;5;0,0;0,0;0,0;0,0;0,0;0,0;0;136
aio-libs/aiohttp;v2.1.0;VR;0;0;0;1;44;92,5;-950;-690;-0,14;0,33;4,14;3,26;3,26;0,59;-2;134
aio-libs/aiohttp;v2.2.0;VR;0;0;1;1;25;92,6;507;378;-0,15;0,0;5,25;6,31;6,31;0,0;2;136
aio-libs/aiohttp;v2.3.0;VR;0;0;1;1;120;93,0;2561;1885;0,32;1,42;-3,74;3,73;3,73;14,95;7;143
aio-libs/aiohttp;v2.3.1;VR;0;0;1;1;2;93,0;104;90;0,0;0,0;-7,14;0,0;0,0;0,0;0;143
aio-libs/aiohttp;v2.3.2;VR;0;0;1;1;12;93,0;155;111;-0,33;-1,39;7,69;2,26;2,26;0,0;0;143
aio-libs/aiohttp;v2.3.3;VR;0;0;1;1;16;93,7;788;519;-0,02;-0,01;0,78;7,89;7,89;0,0;0;143
aio-libs/aiohttp;v2.3.4;VR;0;0;1;0;12;93,7;15;11;-0,56;0,0;0,0;0,0;0,0;0,0;0;143
aio-libs/aiohttp;v2.3.5;VR;0;0;0;0;1;93,7;-7;5;0,0;0,0;0,0;0,0;0,0;0,0;0;143
aio-libs/aiohttp;v2.3.6;VR;0;0;0;0;4;93,7;-1;-1;0,0;0,0;0,0;0,0;0,0;0,0;0;143
aio-libs/aiohttp;v2.3.7;VR;0;0;1;0;23;93,7;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0;143
aio-libs/aiohttp;v3.0.1;VR;0;0;0;1;47;94,3;-1035;-896;3,55;-0,1;1,78;0,31;0,31;-0,47;-3;140
aio-libs/aiohttp;v3.0.2;VR;0;0;1;0;11;94,3;15;10;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.3;VR;0;0;0;0;3;94,3;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.4;VR;0;0;0;0;0;94,3;0;-1;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.5;VR;0;0;1;0;1;94,3;23;17;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.6;VR;0;0;0;0;5;94,3;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.7;VR;0;0;1;0;4;94,3;4;2;-0,61;0,0;0,0;9,53;9,53;0,0;0;140
aio-libs/aiohttp;v3.0.8;VR;0;0;1;0;5;94,3;5;4;0,0;0,0;0,0;0,0;0,0;0,0;0;140
aio-libs/aiohttp;v3.0.9;VR;0;0;1;0;1;94,3;41;29;0,0;0,0;0,0;0,0;0,0;0,0;0;140
